Title, Bel, Dol, Euro, Year
Citroen Jumper II Рестайлинг HDI,35495,14858,12700,2017
Renault 19 I,478,200,171,1991
Citroen Jumper II Рестайлинг HDI,33539,14039,12000,2017
Citroen Jumper II Рестайлинг HDI,36334,15209,13000,2017
BMW X5 III (F15) 3.5iX N55 M-packet ,77400,32400,27693,2016
Renault Megane II Рестайлинг,11706,4900,4188,2008
Citroen Jumper II Рестайлинг HDI Business,26552,11115,9500,2017
Subaru Impreza WRX II ,13856,5800,4957,2002
Volkswagen Touareg I ,12422,5200,4445,2005
Citroen DS5 I HDI Business,20123,8424,7200,2015
Renault Scenic III,17558,7350,6282,2009
Citroen C5 II,24875,10413,8900,2017
Citroen C5 II Exclusive,27949,11700,10000,2017
Renault Sandero II,17917,7500,6411,2017
Volkswagen Tiguan I,20186,8450,7223,2008
Audi 80 B2,956,400,342,1985
Citroen C4 II Рестайлинг Business PLUS,16490,6903,5900,2017
Dacia Logan I Рестайлинг,10511,4400,3761,2009
Volvo S80 II,25561,10700,9146,2007
Renault Fluence I,17439,7300,6240,2010
Citroen C4 II Рестайлинг,16769,7020,6000,2017
Mazda 6 I Рестайлинг ,7644,3200,2735,2006
Land Rover Range Rover II ,12422,5200,4445,1997
Citroen C4 II Рестайлинг Millenium Business,16769,7020,6000,2017
Audi 100 С3 ,1553,650,556,1988
BMW 5 серия IV (E39) Рестайлинг Individual MuschelahornEdition,16125,6750,5769,2002
BMW 7 серия IV (E6x) Рестайлинг 730d ,25081,10499,8974,2005
Citroen C4 II Рестайлинг,18167,7605,6500,2016
Hyundai Santa Fe II (CM) ,20783,8700,7436,2007
Citroen C3 III,12577,5265,4500,2017
Citroen C4 Grand Picasso I,15289,6400,5470,2009
Ford EcoSport I,31056,13000,11112,2017
Citroen C3 III,39129,16379,14000,2017
Citroen C3 III,13975,5850,5000,2016
Dodge Neon II,4778,2000,1709,2000
Citroen C3 II Рестайлинг,22359,9360,8000,2016
BMW 3 серия II (E30) Рестайлинг 320i,2867,1200,1026,1991
Volkswagen Jetta VI,23650,9900,8462,2013
"BMW 7 серия V (F0x) F01,F04",40492,16950,14488,2009
Audi A6 Allroad C6 Рестайлинг ,23770,9950,8505,2008
Lancia Kappa I,7644,3200,2735,1999
Opel Omega A,1314,550,470,1990
Citroen C1 II,19005,7956,6800,2017
Volkswagen Polo V,13139,5500,4701,2011
Volkswagen Passat B3,2867,1200,1026,1992
Audi A4 B5 TDI,9556,4000,3419,1998
Volkswagen Polo V,11706,4900,4188,2013
Opel Astra F ,1075,450,385,1993
Citroen Berlingo II Рестайлинг 2,11180,4680,4000,2017
Volkswagen Passat B5.5 Рестайлинг TDI,11703,4899,4187,2001
Citroen Berlingo II Рестайлинг 2,13975,5850,5000,2017
Mazda 323 F (BA) ,2747,1150,983,1996
Audi 100 С3 Рестайлинг Тд ,3225,1350,1154,1989
Citroen Berlingo II Рестайлинг 2,19564,8190,7000,2017
Hyundai Elantra V (MD) Рестайлинг,24845,10400,8889,2014
Toyota Avensis III,24367,10200,8718,2009
Subaru Legacy II,956,400,342,1995
Citroen Berlingo II Рестайлинг 2,15092,6318,5400,2016
Volkswagen Passat B5.5 Рестайлинг,10392,4350,3718,2004
BMW X5 III (F15),106206,44458,38000,2017
Renault Laguna I,5614,2350,2009,1998
BMW X5 III (F15),58693,24569,21000,2017
Nissan Prairie II (M11) ,884,370,316,1990
Ford Focus I Рестайлинг,5614,2350,2009,2003
Opel Zafira A,7525,3150,2692,1999
Volkswagen Passat CC I,21476,8990,7684,2009
Saab 9000 II BLACK,3106,1300,1111,1995
BMW X5 III (F15),78257,32759,28000,2017
Ford Galaxy I,9197,3850,3291,1998
Mazda 626 V (GF),5733,2400,2051,1998
BMW X5 III (F15),67078,28079,24000,2016
Opel Astra G Economic,6634,2777,2374,2000
BMW X4 I (F26),53103,22229,19000,2017
Volkswagen Polo III,7000,2930,2505,2001
BMW X4 I (F26),55898,23399,20000,2017
BMW X4 I (F26),53103,22229,19000,2017
Hyundai Tucson I,13139,5500,4701,2007
BMW X4 I (F26),67078,28079,24000,2017
BMW X3 II (F25) Рестайлинг,44718,18719,16000,2017
BMW X3 II (F25) Рестайлинг,36334,15209,13000,2017
BMW X3 II (F25) Рестайлинг,39129,16379,14000,2017
Volkswagen Golf II (Mk2),2150,900,769,1991
Mitsubishi Carisma I Рестайлинг,4061,1700,1453,1999
BMW X3 II (F25) Рестайлинг,41924,17549,15000,2017
Volkswagen Passat B3 Моно,2867,1200,1026,1988
BMW X1 II (F48),36334,15209,13000,2017
Mercedes-Benz C-Класс II (W203) Kompressor ,11682,4890,4180,2001
BMW X1 II (F48),26552,11115,9500,2017
BMW X1 II (F48),33539,14039,12000,2017
BMW X1 II (F48),40526,16964,14500,2016
BMW X1 II (F48),40526,16964,14500,2017
Volkswagen Passat B4,5853,2450,2094,1994
Fiat Tipo (160),3106,1300,1111,1993
Citroen Xantia I Рестайлинг 2,9556,4000,3419,2000
Mitsubishi Lancer IX Рестайлинг 2,10511,4400,3761,2005
Volvo S80 I,12422,5200,4445,2002
BMW i3 I (I01),39129,16379,14000,2017
Skoda Felicia !,1553,650,556,1997
BMW i3 I (I01),44718,18719,16000,2017
Peugeot 607 I,7644,3200,2735,2000
